ID_Orden,ID_Ciclo,Fecha,Plataforma,Tipo,Zona,Monto_USDT,Monto_Fiat,Metodo,Cliente,CI,Cuenta,KYC,Captura_Local,Captura_URL
21120010,ba0b9e85,2026-09-15 01:06,Binance,Compra (Recibes USDT),Zona NV,20.0,19.96,Zinli,DARLYN ALEJANDRA SERBERI DIAZ,30000456,joseaguiar_542@gmail.com,Sí,,https://www.zinli.com/assets/images/phone_mobile.png
872828,ba0b9e85,2026-09-15 00:58,Binance,Compra (Recibes USDT),Principal,55.0,54.89,Zinli,ANGEL SAMUEL GONZALEZ BORDONES,24856321,yudis0_500@gmail.com,Sí,,https://www.zinli.com/assets/images/phone_mobile.png
4527727,ba0b9e85,2026-09-15 00:47,Binance,Compra (Recibes USDT),Principal,60.0,59.88,Zinli,BETTIS RAMONA MORILLO CASTILLO,14563258,yudis_0500@gmail.com,Sí,,https://www.zinli.com/assets/images/phone_mobile.png
177278278,ba0b9e85,2026-09-15 00:39,Binance,Compra (Recibes USDT),Principal,80.0,79.84,Zinli,MARY CARMEN ALVARADO PINEDA,19181272,maryalvarado@gmail.com,No,capturas_p2p\177278278_pago bin.jpeg,
527272727,ba0b9e85,2026-09-15 00:35,Binance,Venta (Entregas USDT),Salida (Venta),100.0,100.70000000000002,Zinli,MIRIAM JOSEFINA CONTRERAS JIMENEZ,10989331,yudis000@gmail.com,Sí,,https://www.zinli.com/assets/images/phone_mobile.png
77272572727,ba0b9e85,2026-09-15 00:34,Binance,Compra (Recibes USDT),Principal,50.0,49.9,Zinli,ROSAURA CONTRERAS JIMENEZ,10323300,yudis050@gmail.com,Sí,,https://www.zinli.com/assets/images/phone_mobile.png
55222336412305,ba0b9e85,2026-09-15 00:31,Binance,Compra (Recibes USDT),Zona NV,50.0,49.9,Zinli,MARY CARMEN ALVARADO PINEDA,19181272,yudis0500@gmail.com,Sí,,https://www.zinli.com/assets/images/phone_mobile.png
5556665233,ba0b9e85,2026-09-15 00:26,Binance,Venta (Entregas USDT),Salida (Venta),100.0,100.70000000000002,Zinli,JOSE RAFAEL AGUIAR CONTRERAS,18322554,yudis0500@gmail.com,Sí,capturas_p2p\5556665233_pago bin.jpeg,
5555112356987541230,92b34e83,2026-09-11 00:09,Binance,Compra (Recibes USDT),Alta,200.0,191943.6,Banesco,MARY CARMEN ALVARADO PINEDA,19181272,1340438174381036374,Sí,capturas_p2p\5555112356987541230_pagado zinli.jpeg,
55556666999820,92b34e83,2026-09-10 23:57,Binance,Compra (Recibes USDT),Zona NV,80.0,76720.8,Banesco,HENRRY ARQUIMENES FUENTES GUEVARA,10989332,1340438174381036374,Sí,,https://imgv2-2-f.scribdassets.com/img/document/566698130/original/fb604f57a2/1?v=1
444441112000,92b34e83,2026-09-10 23:54,Binance,Compra (Recibes USDT),Principal,50.0,47950.5,Banesco,JOSE RAFAEL AGUIAR CONTRERAS,18322554,1340438174381036370,Sí,capturas_p2p\444441112000_maria 3.jpeg,https://imgv2-2-f.scribdassets.com/img/document/442700045/original/ce788ef9b5/1?v=1
4444555668253,92b34e83,2026-09-10 23:46,Binance,Venta (Entregas USDT),Salida (Venta),250.0,241047.5,Banesco,VICTOR MANUEL SALAS,18322556,1340938174381036374,Sí,capturas_p2p\4444555668253_pago .jpeg,https://pbs.twimg.com/media/EDE4X3PW4AA3LiA.jpg
44445556663332211,92b34e83,2026-09-10 23:43,Binance,Venta (Entregas USDT),Salida (Venta),250.0,241047.5,Banesco,ANA MARIA MOLINA CEBALLOS,18322553,1340438174381036374,Sí,,https://pbs.twimg.com/media/EDE4X3PW4AA3LiA.jpg
1020304055698475777,92b34e83,2026-09-10 23:40,Binance,Venta (Entregas USDT),Salida (Venta),500.0,482095.0,Banesco,ORIANA DAMELIS ARDILA MUÑOZ,18322555,13404381743810363777,Sí,capturas_p2p\01020304055698475777_jose luis.jpeg,
77778885261234,ae2458a0,2026-09-10 23:24,Binance,Compra (Recibes USDT),Media,115.0,110320.995,Banesco,DAYANA BETSIMAR CORONEL TORCATI,19181273,1340448174381036377,Sí,capturas_p2p\77778885261234_maria 3.jpeg,
223561,ae2458a0,2026-09-10 23:21,Binance,Compra (Recibes USDT),Zona NV,50.0,47895.5,Banesco,JHONNY DAVID PEREZ RODRIGUEZ,13452000,1340438174381116374,Sí,,https://pbs.twimg.com/media/EDE4X3PW4AA3LiA.jpg
1122336645,ae2458a0,2026-09-10 23:16,Binance,Compra (Recibes USDT),Principal,45.0,43117.425,Banesco,DANIELA VICTORIA RODRIGUEZ RUIZ,22222222,1340438174391036374,Sí,,https://imgv2-2-f.scribdassets.com/img/document/247006278/original/eedbc7d760/1?v=1
444447775895,ae2458a0,2026-09-10 23:11,Binance,Venta (Entregas USDT),Salida (Venta),500.0,481945.0,Banesco,LUIS FERNANDO SAEZ RIVERO,30400100,1340438174381036300,Sí,capturas_p2p\444447775895_pago bin.jpeg,https://imgv2-2-f.scribdassets.com/img/document/442700045/original/ce788ef9b5/1?v=1
8899963471,ae2458a0,2026-09-10 23:06,Binance,Venta (Entregas USDT),Salida (Venta),500.0,481945.0,Banesco,YOLIMA ROCIO OROZCO DE FERRER,14523967,1340438174381039999,Sí,capturas_p2p\8899963471_rafa.jpeg,https://imgv2-2-f.scribdassets.com/img/document/442700045/original/ce788ef9b5/1?v=1
866698985456,7eb65a95,2026-09-10 21:27,Binance,Compra (Recibes USDT),,35.0,33465.775,Banesco,MASSIEL CHIQUINQUIRA SEGOVIA FRANCO,17333656,1340438174381037465,Sí,capturas_p2p\866698985456_rafa.jpeg,https://imgv2-2-f.scribdassets.com/img/document/442700045/original/ce788ef9b5/1?v=1
8989989878754,7eb65a95,2026-09-10 20:59,Binance,Compra (Recibes USDT),,40.0,38246.6,Banesco,LORENNY YOSELENE JIMENEZ,15425266,1340438174381036556,Sí,capturas_p2p\8989989878754_rafa.jpeg,https://imgv2-2-f.scribdassets.com/img/document/442700045/original/ce788ef9b5/1?v=1
800007979899856,7eb65a95,2026-09-10 20:46,Binance,Compra (Recibes USDT),,30.0,28714.83,Banesco,MIRIAM JOSEFINA CONTRERAS JIMENEZ,10989331,1340438174381036354,Sí,,
8856422316555231212,7eb65a95,2026-09-10 20:42,Binance,Compra (Recibes USDT),,20.03,19151.98495,Banesco,ROSAURA CONTRERAS JIMENEZ,10323300,1340438174381036376,Sí,,
888556941222234562,7eb65a95,2026-09-10 20:28,Binance,Venta (Entregas USDT),,500.0,481470.0,Banesco,MARY CARMEN ALVARADO PINEDA,19181272,1340438174381036375,Sí,,
8895642458612,7eb65a95,2026-09-10 20:26,Binance,Venta (Entregas USDT),,500.0,481470.0,Banesco,JOSE RAFAEL AGUIAR CONTRERAS,18322554,1340438174381036374,Sí,,
